Abjure
Abrupt Decay
Exotic Orchard
Exotic Orchard
Expedition Map
Exploration
Explore
Explore
Explore
Exsanguinate
Extraplanar Lens
Ezuri's Predation
Fa'adiyah Seer
Fabled Passage
Fabricate
Fact or Fiction
Fact or Fiction
Faerie Mastermind
Faithbound Judge // Sinner's Judgment
Faithless Looting
Fathom Mage
Fauna Shaman
Fecund Greenshell
Feed the Swarm
Feign Death
Feldon of the Third Path
Fell the Mighty
Fell the Mighty
Fell the Profane // Fell Mire
Fellwar Stone
Fellwar Stone
Fierce Empath
Finale of Devastation
Finale of Revelation
Final Fortune
Final Parting
Firbolg Flutist
Firemind Vessel
Fists of the Demigod
Flamerush Rider
Flameshadow Conjuring
Flare of Cultivation
Flawless Maneuver
Flooded Grove
Flooded Grove
Flooded Strand
Floriferous Vinewall
Floriferous Vinewall
Flumph
Fog
Fog Bank
Fog Bank
Footsteps of the Goryo
Forbidden Orchard
Foreboding Ruins
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Forest
Fortified Rampart
Frantic Search
Freed from the Real
Frenzied Gorespawn
Fyndhorn Elves
Gaea's Blessing
Gaea's Bounty
Gaea's Touch
Gatecreeper Vine
Gauntlet of Power
Gavony Township
Gelatinous Genesis
Generous Gift
Genesis Wave
Geode Rager
Geth's Grimoire
Ghost Quarter
Ghoulish Impetus
Gift of Doom
Giggling Skitterspike
Gitaxian Probe
Gix's Command
Glacial Chasm
Glacial Wall
Glasspool Mimic // Glasspool Shore
Glimmerpost
Glorious End
Goblin Cannon
Goblin Spymaster
Godless Shrine
Golgari Brownscale
Golgari Grave-Troll
Golgari Signet
Goryo's Vengeance
Grapple with the Past
Graven Cairns
Grave-Shell Scarab
Gray Merchant of Asphodel
Green Sun's Twilight
Green Sun's Zenith
Grim Tutor
Grisly Salvage
"Grist, the Hunger Tide"
Growth Spiral
Growth Spiral
Gruesome Encore
Guard Gomazoa
Guardian Project
Guildless Commons
Hall of Heliod's Generosity
Hall of Storm Giants
Hallowed Fountain
Harmonize
Harmonize
Harmonize
Harrow
Harsh Mentor
Hashep Oasis
Hate Mirage
Haunted Ridge
Havoc Festival
Heartstone
Helix Pinnacle
Hellkite Courser
Heraldic Banner
Hermit Druid
Hex
Hickory Woodlot
Hidden Cataract
Hidden Nursery
High Alert
Highland Lake
High Market
High Tide
Hinterland Harbor
Hive Mind
Homeward Path
Horizon of Progress
Horizon Spellbomb
Hot Pursuit
Hour of Promise
Hover Barrier
Howling Mine
Humble Defector
Hunted Horror
Hurricane
Hydra Broodmaster
Hydroid Krasis
Ideas Unbound
Identity Thief
Idyllic Tutor
"Ilharg, the Raze-Boar"
Ill-Gotten Gains
Imprisoned in the Moon
Incriminating Impetus
Into the Roil
Into the Roil
Into the Wilds
Intruder Alarm
"Invasion of Ikoria // Zilortha, Apex of Ikoria"
Ior Ruin Expedition
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Island
Isochron Scepter
It That Betrays
Izzet Boilerworks
Izzet Charm
Izzet Guildgate
Izzet Signet
"Jace, Wielder of Mysteries"
Jaddi Offshoot
Jadelight Ranger
Jadelight Spelunker
Jarad's Orders
Jeskai Barricade
Jeska's Will
"Jin-Gitaxias, Core Augur"
"Jin-Gitaxias, Progress Tyrant"
Joraga Treespeaker
Journeyer's Kite
Journey of Discovery
Jungle Barrier
Jungle Basin
Jungle Basin
Jwari Disruption // Jwari Ruins
Jwar Isle Refuge
"Jyoti, Moag Ancient"
Kaijin of the Vanishing Touch
"Kamahl, Fist of Krosa"
"Kamahl, Heart of Krosa"
Kami of the Crescent Moon
"Karazikar, the Eye Tyrant"
"Kardur, Doomscourge"
"Kazuul, Tyrant of the Cliffs"
Keep Watch
Kenrith's Transformation
Khalni Gem
Khalni Heart Expedition
Khârn the Betrayer
Killer Bees
Kindred Discovery
Kodama of the East Tree
Kodama's Reach
Kodama's Reach
Krosan Grip
Krosan Tusker
Krovikan Mist
"Kroxa, Titan of Death's Hunger"
Lair of the Hydra
Laser Screwdriver
Last Chance
Last March of the Ents
Lat-Nam's Legacy
Lay of the Land
Lazotep Quarry
Ledger Shredder
Library of Leng
Lifecrafter's Bestiary
Life from the Loam
Lightning Greaves
Lightning Greaves
Llanowar Elves
Llanowar Visionary
Llanowar Wastes
Loamcrafter Faun
Lonely Sandbar
Lord of the Unreal
Lord of Tresserhorn
Lost in the Woods
Lotus Field
Lotus Petal
Loyal Drake
Lull
Lumbering Falls
Lush Oasis
Luxury Suite
Macabre Mockery
Magus of the Candelabra
Magus of the Library
Malakir Rebirth // Malakir Mire
Malevolent Rumble
Manabond
Mana Flare
Mana Reflection
Marble Titan
March from Velis Vel
March of Swirling Mist
March of Wretched Sorrow
Marsh Flats
Maskwood Nexus
Massacre Girl
Massacre Wurm
Master of Cruelties
Mausoleum Secrets
Maze of Ith
Meekstone
Meeting of Minds
Meloku the Clouded Mirror
Meloku the Clouded Mirror
Memorial to Genius
Meteor Golem
Meteor Golem
"Mikokoro, Center of the Sea"
Mimic Vat
"Minas Morgul, Dark Fortress"
Mind's Eye
Mindslicer
Mind Stone
Mind Stone
Minion Reflector
"Minn, Wily Illusionist"
Mirage Mirror
Mirror March
Misty Rainforest
Mnemonic Wall
"Molimo, Maro-Sorcerer"
Molten Primordial
Moment's Peace
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mountain
Mulch
Mulldrifter
Mulldrifter
"Multani, Yavimaya's Avatar"
Murkfiend Liege
Murmuring Mystic
Mutavault
Myriad Landscape
Myriad Landscape
Myriad Landscape
Mystical Tutor
Mystic Reflection
Mystic Remora
Mystic Sanctuary
Myth Unbound
Nanogene Conversion
Nantuko Cultivator
Narset's Reversal
Natural Order
Natural State
Nature's Claim
Nature's Lore
Navigation Orb
Necrogen Mists
Negate
Nerd Rage
Nettling Nuisance
"Nezahal, Primal Tide"
Night's Whisper
Nihil Spellbomb
Nimble Obstructionist
Nimbus Maze
Nissa's Pilgrimage
"Nissa, Steward of Elements"
Nissa's Triumph
"Nissa, Vastwood Seer // Nissa, Sage Animist"
"Nissa, Vital Force"
"Nissa, Voice of Zendikar"
"Nissa, Who Shakes the World"
"Nissa, Worldwaker"
Noetic Scales
No Mercy
Noose Constrictor
Notion Thief
Noxious Revival
Nurturing Peatland
Nylea's Intervention
Oakhame Adversary
"Obeka, Brute Chronologist"
Oblivion Crown
Oblivion Stone
Offer Immortality
Ominous Seas
"Omnath, Locus of Mana"
Omniscience
"Omo, Queen of Vesuva"
Oneirophage
Opal Palace
Open into Wonder
Open the Armory
Ophiomancer
Oppression
Orator of Ojutai
Orochi Hatchery
"Otawara, Soaring City"
Overflowing Basin
Overgrown Battlement
Overgrown Tomb
Overseer of the Damned
Painful Quandary
Pain Magnification
Parasitic Impetus
Peat Bog
Peel from Reality
Pendant of Prosperity
Perilous Research
Perimeter Captain
Perplexing Test
Pestilence
Pest Infestation
Phage the Untouchable
Phantasmal Dragon
Phantasmal Dreadmaw
Phantom Steed
Phyrexian Altar
Phyrexian Arena
Phyrexian Metamorph
Phyrexian Scriptures
Plains
Planar Nexus
Planar Portal
Plumeveil
Poison Dart Frog
Polluted Delta
"Polukranos, World Eater"
Ponder
Ponder
Pongify
Portcullis
Portcullis Vine
Praetor's Counsel
Preordain
Priest of Titania
Primal Command
Prismatic Lens
Prisoner's Dilemma
Proft's Eidetic Memory
Propaganda
Propaganda
Psychic Corrosion
Psychic Vortex
Psychosis Crawler
Puppeteer Clique
"Purphoros, Bronze-Blooded"
Putrid Imp
Pyrohemia
Quandrix Campus
Rain of Filth
Rain of Revelation
Rakdos Carnarium
Rakdos Charm
Rakdos Guildgate
Rakdos Signet
Rakshasa Debaser
"Rammas Echor, Ancient Shield"
Rampaging Baloths
Rampaging Baloths
Rampant Frogantua
Rampant Growth
Rampant Growth
Rampant Growth
Ramunap Excavator
Ramunap Excavator
Rasaad yn Bashir
Rath's Edge
Raucous Theater
Read the Runes
Reality Shift
Realms Uncharted
Reanimate
Reclamation Sage
Reclamation Sage
Red Sun's Twilight
Regenesis
Regrowth
Rejuvenating Springs
Relic of Sauron
Reliquary Tower
Reliquary Tower
Reliquary Tower
Reliquary Tower
Rending Vines
Repercussion
Replication Technique
Reprobation
Resolute Watchdog
Retreat to Kazandu
Retribution of the Meek
Return to Nature
Rhystic Study
Ring of Three Wishes
Rings of Brighthearth
Riptide Laboratory
Riptide Turtle
Rites of Flourishing
Rites of Spring
Ritual of Subdual
Riveteers Overlook
Road of Return
Robe of Stars
Rocket Launcher
Rogue's Passage
Rolling Earthquake
Rowen
Rude Awakening
Rune-Scarred Demon
Runic Armasaur
Rushed Rebirth
Sacred Foundry
Sage of the Maze
"Saheeli, the Sun's Brilliance"
Sands of Delirium
Sapphire Medallion
Sapseep Forest
Saruli Caretaker
"Sasaya, Orochi Ascendant // Sasaya's Essence"
Satyr Wayfinder
Scalding Tarn
Scholar of the Ages
Scourge of Fleets
Scourge of the Throne
Scroll of Origins
Scroll Rack
Scrying Sheets
Scute Swarm
Sea of Clouds
Search for Tomorrow
Seaside Citadel
Seasons Past
"Sedris, the Traitor King"
Seeker of Sunlight
Seek the Horizon
Seer's Sundial
Seer's Sundial
Seer's Sundial
Sejiri Shelter // Sejiri Glacier
Sepulchral Primordial
Shadowblood Ridge
Shamanic Revelation
Shared Summons
Shared Summons
Sharktocrab
Shefet Monitor
"Sheoldred, Whispering One"
Shield Sphere
Shield-Wall Sentinel
"Shigeki, Jukai Visionary"
"Shinka, the Bloodsoaked Keep"
Shiny Impetus
Shipbreaker Kraken
Shivan Reef
Shred Memory
Sicarian Infiltrator
Sidar Kondo of Jamuraa
Sign in Blood
Silvanus's Invoker
Simic Charm
Simic Growth Chamber
Simic Growth Chamber
Simic Guildgate
Simic Guildgate
Simic Signet
Simic Sky Swallower
Sire of Insanity
Six
Skullclamp
Skull Prophet
Skullwinder
Skycloud Expanse
Sky Diamond
Slaughter Pact
Slaughter the Strong
Sleeper Agent
"Slinn Voda, the Rising Deep"
Slippery Karst
Smokestack
Smoldering Marsh
Smoldering Marsh
Smuggler's Surprise
Snapcaster Mage
Sneak Attack
Snow-Covered Forest
Snow-Covered Mountain
Snow-Covered Swamp
Snow-Covered Swamp
"Sokenzan, Crucible of Defiance"
Solemn Simulacrum
Solemn Simulacrum
Sol Ring
Sol Ring
Sol Ring
Sol Ring
Sol Ring
Sol Ring
Song of the Dryads
Soul Channeling
Soul of New Phyrexia
Spara's Headquarters
Spark Double
Spectacular Showdown
Spellbook
Spellseeker
Spelunking
Sphinx of the Second Sun
Sphinx of Uthuun
Spidersilk Armor
Spitting Image
Sporemound
Sprouting Vines
Squall Line
Staff of Domination
Stalwart Shield-Bearers
Steam Vents
Steelbane Hydra
Steel Wall
"Sting, the Glinting Dagger"
Stinkweed Imp
Stomping Ground
Stoneskin
Stormfist Crusader
Stormtide Leviathan
Stuffy Doll
Stumpsquall Hydra
Sublime Epiphany
Submerged Boneyard
Sudden Spoiling
Sudden Substitution
Suffocating Fumes
Sulfur Falls
Sulfurous Springs
Summary Dismissal
Summer Bloom
Summoner's Pact
Sundial of the Infinite
Sunken Hollow
Sunken Palace
Sunpetal Grove
Sunscape Familiar
Sunscorched Desert
Sun Titan
Supernatural Stamina
Suspicious Bookcase
Swamp
Swamp
Swamp
Swamp
Swamp
Swamp
Swamp
Swamp
Swamp
Swan Song
Swiftfoot Boots
Swiftfoot Boots
Swiftfoot Boots
Swiftwater Cliffs
Sword of the Animist
Swords to Plowshares
Sylvan Caryatid
Sylvan Library
Sylvan Ranger
Sylvan Safekeeper
Sylvan Scrying
Sylvan Scrying
Syphon Mind
"Takenuma, Abandoned Mire"
Tale's End
Talisman of Creativity
Talisman of Dominance
Talisman of Indulgence
Talisman of Indulgence
Talisman of Resilience
Talon Gates of Madara
Tamiyo's Safekeeping
"Tatyova, Benthic Druid"
Taunting Kobold
"Teferi, Master of Time"
Teferi's Ageless Insight
"Teferi, Temporal Pilgrim"
Temple Garden
Temple of Mystery
Temple of the False God
Tenacious Tomeseeker
Terastodon
Terastodon
"Tergrid, God of Fright // Tergrid's Lantern"
Terminate
Terminate
Terrain Generator
Terramorphic Expanse
Terror of the Peaks
"Tetsuko Umezawa, Fugitive"
Thallid Shell-Dweller
"Thassa, God of the Sea"
Thaumatic Compass // Spires of Orazca
The Gitrog Monster
The Golden Throne
The Great Aurora
The Pride of Hull Clade
The Sound of Drums
Thespian's Stage
Thirst for Discovery
Thornwood Falls
Thornwood Falls
Thought Vessel
Thought Vessel
Thought Vessel
Thran Dynamo
Thran Turbine
Threats Undetected
Three Steps Ahead
Three Visits
Thrill of Possibility
Throne of Eldraine
Tidal Barracuda
Timeless Witness
Time Stop
Titan of Littjara
Tolarian Winds
Tome of Legends
Tooth and Nail
"Toothy, Imaginary Friend"
Torpor Orb
Torrential Gearhulk
Tower Defense
Towering Titan
Tower of Fortunes
Tranquil Thicket
Tranquil Thicket
Transcendent Message
Treacherous Urge
Treasure Cruise
Treasure Nabber
Tree of Redemption
Trench Behemoth
Trenchpost
Tribute Mage
Triskaidekaphile
Triumph of the Hordes
Tromokratis
Turn the Earth
"Turntimber Symbiosis // Turntimber, Serpentine Wood"
Twilight Mire
Twinflame
"Ulamog, the Infinite Gyre"
Ulcerate
Ulvenwald Captive // Ulvenwald Abomination
Ulvenwald Hydra
Uncage the Menagerie
Unclaimed Territory
"Unctus, Grand Metatect"
Underground River
Undergrowth Stadium
Undying Malice
Unearth
Unmarked Grave
Unnatural Growth
Unwind
Urban Evolution
Urban Evolution
"Uro, Titan of Nature's Wrath"
"Urza, Lord High Artificer"
Urza's Mine
Urza's Power Plant
Urza's Tower
Valakut Awakening // Valakut Stoneforge
Vandalblast
Vandalblast
"Varchild, Betrayer of Kjeldor"
Veil of Summer
Vengeful Ancestor
Verdant Catacombs
Verdant Mastery
Verdant Sun's Avatar
Verdeloth the Ancient
Vernal Bloom
Vesuva
Vineglimmer Snarl
Vine Trellis
Viridian Revel
Virtue of Strength // Garenbrig Growth
Vislor Turlough
Vivid Creek
Vivid Grove
Vivien Reid
Voidwalk
Volatile Fault
Voracious Hydra
"Vorinclex, Voice of Hunger"
Vow of Lightning
Wakeroot Elemental
Wake the Dead
Walking Atlas
Walking Ballista
Walking Bulwark
Wall of Blossoms
Wall of Blossoms
Wall of Denial
Wall of Essence
Wall of Frost
Wall of Glare
Wall of Ice
Wall of Junk
Wall of Kelp
Wall of Lost Thoughts
Wall of Mourning
Wall of Mulch
Wall of Nets
Wall of Omens
Wall of Roots
Wall of Runes
Wall of Shards
Wall of Stolen Identity
Wall of Tanglecord
Wall of Tears
Wandering Archaic // Explore the Vastlands
Wand of Wonder
Wargate
Warrior's Oath
War Room
War Room
War's Toll
Watery Grave
Wave of Reckoning
Wayfarer's Bauble
Wayward Swordtooth
Weathered Sentinels
Weird Harvest
Welcoming Vampire
Whelming Wave
Whip of Erebos
Whirlpool Drake
Wickerbough Elder
Wilderness Reclamation
Wildest Dreams
Wild-Field Scarecrow
Wild Growth
Wildheart Invoker
Wild Mongrel
Windfall
Windfall
Winding Way
Windswept Heath
Wingmantle Chaplain
Wishclaw Talisman
Wizard Class
Wolfbriar Elemental
Wonderscape Sage
Wooded Bastion
Wooded Foothills
Woodland Bellower
Woodland Cemetery
Woodland Stream
Words of Waste
Worldgorger Dragon
Worldly Tutor
Wormfang Manta
Wound Reflection
Wrenn and Seven
Xander's Lounge
"Xantcha, Sleeper Agent"
Yavimaya Coast
Yavimaya Coast
"Yavimaya, Cradle of Growth"
Yavimaya Elder
Yavimaya Elder
You Happen On a Glade
"Zara, Renegade Recruiter"
Zendikar Resurgent
Zuran Orb
